Spaceport,Latitude,Longitude,Failures_in_Dataset,Total_Launches,Failure_Rate_Pct
Baikonur Cosmodrome,45.965,63.552,11,1558,0.71
Plesetsk Cosmodrome,62.927,40.577,6,1687,0.36
Cape Canaveral / Kennedy Space Center,28.5618,-80.5772,7,1368,0.51
Vandenberg Space Force Base,34.757,-120.526,8,899,0.89
Guiana Space Centre,5.2324,-52.7696,6,331,1.81
Jiuquan Satellite Launch Center,40.96,100.298,6,283,2.12
Xichang Satellite Launch Center,28.246,102.026,4,239,1.67
Taiyuan Satellite Launch Center,38.849,111.608,3,155,1.94
Satish Dhawan Space Centre,13.733,80.235,8,101,7.92
Tanegashima Space Center,30.4006,130.975,2,97,2.06
Rocket Lab Launch Complex 1,-39.262,177.864,4,75,5.33
Wallops Flight Facility,37.834,-75.488,1,59,1.69
Pacific Spaceport Complex,57.435,-152.339,4,9,44.44
Omelek Island,9.048,167.743,3,9,33.33
Spaceport Kii,33.82,135.81,3,3,100.0
Pacific Missile Range Facility,22.022,-159.785,1,1,100.0
Mojave Air and Space Port,34.9013,-118.1517,1,5,20.0
Spaceport Cornwall,50.4406,-5.0027,1,1,100.0
Uchinoura Space Center,31.251,131.079,1,43,2.33
